Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2017-12-31,,,,0.21,2017-12-31,37,37,75,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,not owned by a public authority,,other,,not permissioned,Morrisons Local and Car Park,LBS-BLR1,https://drive.google.com/file/d/1EZUg2F0-J89AyvhPrwz5_JIi2FPUON-J/view,,,
,,2017-12-31,,,,0.8,2017-12-31,44,44,180,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,owned by a public authority,,other,,not permissioned,"Sutton West Centre, Robin Hood Lane",LBS-BLR2,https://drive.google.com/file/d/1kgdlGCIJrMRlJTG-zLbauW2kSwSC8a9E/view,,,
,,2017-12-31,,,,0.3,2017-12-31,52,52,105,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,not owned by a public authority,,other,,not permissioned,North of Lodge Place,LBS-BLR3,https://drive.google.com/file/d/1eD9yz_UjzbtEB4WjACjYzeFv8RrG7dse/view,,,
,,2017-12-31,,,,0.37,2017-12-31,65,65,131,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,not owned by a public authority,,other,,not permissioned,South of Lodge Place,LBS-BLR4,https://drive.google.com/file/d/1mxhbqaQ2i55CSiz54HXcaLaxcbHWHfdi/view,,,
,,2017-12-31,,,,0.07,2017-12-31,4,4,16,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,owned by a public authority,,other,,not permissioned,Kwikfit,LBS-BLR5,https://drive.google.com/file/d/16Est7aYeZhYWLB5gqWMF6YFsw3js8rtP/view,,,
,,2017-12-31,,,,0.07,2017-12-31,12,12,25,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,not owned by a public authority,,other,,not permissioned,North of Greenford Road,LBS-BLR6,https://drive.google.com/open?id=1jl2SWkVtclNniCMYGJG41PdNtN-p5OWu,,,
,,2017-12-31,,,,0.9,2017-12-31,158,158,321,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,owned by a public authority,,other,,not permissioned,Civic Centre,LBS-BLR7,https://drive.google.com/open?id=1R4DeBQTzwGH7clQGRaPv13asithwj_BY,,,
,,2017-12-31,,,,0.73,2017-12-31,127,127,257,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,owned by a public authority,,other,,not permissioned,Times Square Car Park,LBS-BLR8,https://drive.google.com/open?id=1_PcbGRO4rFOs6UzEqPhbeESg3oCTkmqc,,,
,,2017-12-31,,,,0.15,2017-12-31,26,26,53,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,not owned by a public authority,,other,,not permissioned,Times House,LBS-BLR9,https://drive.google.com/open?id=1csz6adzLDXmc8Y9BNcnqvm3AObCtC8S7,,,
,,2017-12-31,,,,0.6,2017-12-31,105,105,213,,London Borough of Sutton,http://opendatacommunities.org/id/london-borough-council/sutton,owned by a public authority,,other,,not permissioned,Elm Grove,LBS-BLR10,https://drive.google.com/open?id=1UJmyfgdQ9QsCoNsc167Quf9KIHY2sM2_,,,
