Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-18,,,,6.56,2018-12-12,650,650,650,Part of City Deal. Proposed for up to 650 dwelling mixed-use as part of larger development scheme for City Deal,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,mixed ownership,,,,Not permissioned,,TIPNER WEST,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,001
yes,,2017-12-18,,,,15.46,2018-12-12,600,600,600,Part of City Deal. Proposed for up to 600 dwelling mixed-use as part of larger development scheme for City Deal,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,owned by a public authority,,,,Not permissioned,,TIPNER FIRING RANGE,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,002
yes,,2017-12-18,,,,11.29,2018-12-12,600,600,600,"Outline planning permission granted for up to 600 homes, 615sqm commercial floor space and sea wall. Permission granted for Park & Ride facility.",Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,owned by a public authority,2012-03-30,outline planning permission,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=L7GM7TMO5G000,permissioned,,LAND OFF AND BETWEEN M275 SOUTH OF TIPNER LAKE INCLUDING GREYHOUND STADIUM TWYFORD AVENUE,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,003
yes,,2017-12-18,,,,25.34,2018-12-12,500,500,500,"The site has considerable contaminated land issues through industrial use of the land, landfill and land reclamation. Therefore, before any development can take place the council will need to be satisfied that an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Allocated in Core Strategy (2011-2027) for approx. 500 homes. Also part of City Deal.",Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,mixed ownership,,,,Not permissioned,,"PORT SOLENT, HMS EXCELLENT",https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,004
yes,,2017-12-18,,,,0.26,2018-12-12,200,200,200,Subject to conditions. Change of use from office (Class B1) to halls of residence (Class C1) at levels 6-18 of Europa House and the annex building to form 262 study bedrooms with communal facilities,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,,2015-06-18,full planning permission,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJCF4FMOI3V00,permissioned,,"EUROPA HOUSE, HAVANT STREET",https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,005
yes,,2017-12-18,,,,3.23,2018-12-12,160,160,160,"The site has considerable contaminated land issues. Therefore, before any development can take place the council will need to be satisfied that thorough investigation of the site has taken place and an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Resolution to grant permission for 163 units. Allocated for residential development in Portsmouth City Plan 2001-2011.",Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,not owned by a public authority,,,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=MSUUZTMO5G000,pending decision,,TRAFALGAR WHARF,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,006
yes,,2017-12-18,,,,2.52,2018-12-12,100,100,100,Resolution to grant permission subject to S106.. Outline application for the construction of up to 108 dwellings,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,owned by a public authority,2017-09-20,Other,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OL60SKMOJTS00,permissioned,,DRAYTON DAIRY,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,007
yes,,2017-12-18,,,,5.45,2018-12-12,130,130,130,Previous planning application withdrawn for 131 residential dwellings. Recent refused planning application for access road to accommodate residential development.,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,not owned by a public authority,,,,Not permissioned,,QINETIQ - FRASER BATTERY,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,008
yes,,2017-12-18,,,,0.84,2018-12-12,30,30,30,Subject to conditions. Construction of eight-storey building comprising 38 apartments above extended landscapes podium level and associated car parking facilities,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,not owned by a public authority,2012-03-15,full planning permission,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LDTP2UMO02T00,permissioned,,QUEENS HOTEL,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,009
yes,,2017-12-18,,,,0.11,2018-12-12,40,40,40,Conversion of east wing to form 9 maisonettes and 31 flats including construction of mansard roof to form additional floor and external alterations,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,,2013-07-18,full planning permission,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=KYYKV6MO04R00,permissioned,,THE ROYAL BEACH HOTEL (EAST WING) ST HELENS PARADE,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,010
yes,,2017-12-18,,,,0.07,2018-12-12,10,10,10,Part demolition of former bingo hall and conversion to form retail unit (Class A1/A2) and 10 dwellinghouse; conversion/extension of outbuilding to form dwellinghouse; provision of associated refuse/ bicycle stores and car parking,Portsmouth City Council,http://opendatacommunities.org/id/unitary-authority/portsmouth,not owned by a public authority,2018-05-30,full planning permission,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OTLPCOMOG6Y00,permissioned,,140-142 KINGSTON ROAD (BINGO HALL),https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,011
