Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-11,-1.23941,54.56699,,0.02,2017-12-11,,8,8,"Change of use from A4 drinking establishement with 2nd floor flat to 8 student cluster flats (1 3B, 6 2B & 1 5B), basement conversion, external alterations, enclosed rear yard and front boundary fencing.",,http://opendatacommunities.org/id/unitary-authority/middlesbrough,not owned by a public authority,2017-04-26,full planning permission,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKUH5FKULQR00,permissioned,,4-6 Park Road North,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR10-4-6-Park-Road-North.pdf,BR10
,,2017-12-11,-1.2241,54.57748,,1.89,2017-12-11,,40,48,,,http://opendatacommunities.org/id/unitary-authority/middlesbrough,owned by a public authority,,,,not permissioned,,"L/S Middlesbrough Dock, Middlehaven",https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR12-LS-Middlesbrough-Dock.pdf,BR12
yes,2019-06-18,2017-12-11,-1.20891,54.5422,,0.99,2017-12-11,,23,23,"Residential development comprising 23no dwellings (2,3 & 4 bed), landscaping and associated infrastructure. Site complete as of 18/6/19",,http://opendatacommunities.org/id/unitary-authority/middlesbrough,not owned by a public authority,2017-08-14,full planning permission,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OM1FBAKU00300,permissioned,,"The Lawns, Marton",https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR26-The-Lawns.pdf,BR26
yes,,2017-12-11,-1.16868,54.51911,,0.97,2017-12-11,,9,11,Part of a larger allocated housing site with additional 4.47 ha of greenfield.,,http://opendatacommunities.org/id/unitary-authority/middlesbrough,not owned by a public authority,,,,not permissioned,,"Ford Close Riding School, Brass Castle Lane",https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR28-Ford-Close-Riding-School.pdf,BR28
yes,,2017-12-11,-1.24147,54.57257,,6.15,2017-12-11,,110,132,,,http://opendatacommunities.org/id/unitary-authority/middlesbrough,mixed ownership,,,,not permissioned,,Gresham,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR30-Gresham.pdf,BR30
yes,,2017-12-11,-1.21406,54.5698,,0.04,2017-12-11,,8,8,Erection of 8no 1 bed self-contained flats with associated boundary works (demolition of existing building). Site cleared and building work commenced.,,http://opendatacommunities.org/id/unitary-authority/middlesbrough,not owned by a public authority,2016-05-23,full planning permission,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK331,permissioned,,"44 Westbourne Grove, North Ormesby",https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR32-44-Westbourne-Grove.pdf,BR32
yes,,2017-12-11,-1.24144,54.56358,,0.07,2017-12-11,,48,48,"Erection of five storey student accommodation building consisting of 46no. studio apartments and 2no. two bed apartments (Sui Generis), and associated works.",,http://opendatacommunities.org/id/unitary-authority/middlesbrough,not owned by a public authority,2019-09-23,full planning permission,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PSVKCIKU00500,permissioned,,368-374 Linthorpe Road,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR35-368-374-Linthorpe-Road.pdf,BR35
yes,,2017-12-11,-1.26518,54.52585,,4.72,2017-12-11,,91,109,,,http://opendatacommunities.org/id/unitary-authority/middlesbrough,not owned by a public authority,,,,not permissioned,,"Sporting Lodge, Low Lane, Stainton",https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR36-The-Sporting-Lodge.pdf,BR36
,,2017-12-11,-1.22911,54.56202,,0.39,2017-12-11,,23,28,,,http://opendatacommunities.org/id/unitary-authority/middlesbrough,not owned by a public authority,,,,not permissioned,,"Acklam Iron & Steelworks Club, Park Road South",https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR38-Acklam-Iron-Steelworks-Club.pdf,BR38
,,2017-12-11,-1.23246,54.57979,,0.1,2017-12-11,,6,7,,,http://opendatacommunities.org/id/unitary-authority/middlesbrough,owned by a public authority,,,,not permissioned,,"Brook Street, Middlehaven",https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR43-Brook-Street.pdf,BR43
