Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-01,-1.990854,49.900223,,0.3,2017-12-01,64,64,64,Reserved Matters Application pursuant to Outline Permission 01/02801/023/P dated 10.5.01 to demolish existing building and erect 5 blocks of 64 flats with ground floor parking and 2 retail units all with access from the The Quay.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2006-07-13,reserved matters approval,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_182810,permissioned,"The Grain Silo, The Quay, Poole, BH15 1HA",P/BLR/0001,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_182810,,,
yes,,2017-12-01,-1.994842,49.900223,,0.22,2017-12-01,31,31,31,"Refurbishment & remodelling works to existing Public House. Demolition of south west wing and rear single storey structures, erection of 31 flats.",Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2007-11-23,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_199509,permissioned,"Broadstone Hotel, Station Approach, Poole, BH18 8AX",P/BLR/0002,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_199509,,,
yes,,2017-12-01,-1.945085,49.90021,,0.11,2017-12-01,9,9,9,Demolish existing building and erect 1 block of 9 apartments with basement parking.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2010-08-24,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_212119,permissioned,"5 Highmoor Road, Poole, BH14 8SZ",P/BLR/0004,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_212119,,,
yes,,2017-12-01,-1.942469,49.900209,,0.4,2018-12-01,4,4,4,Demolition of existing dwelling and construction of 4 semi- detached houses and 1 detached house.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2017-12-15,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_249383,permissioned,"10 Crichel Mount Road, Poole, BH14 8LT",P/BLR/0005,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_249383,,,
yes,,2017-12-01,-1.995999,49.900224,,0.44,2017-12-01,60,60,60,"Erection of two buildings to create a total of 60 apartments (revised scheme to planning permission 07/00913/020/F to increase the number of flats approved on the southern part of the Former James Brother site from 44 to 60, resulting in 113 flats on the James Bros Site overal.).",Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2012-03-07,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_216270,permissioned,"Former James Brothers Site, Blandford Road, Poole, BH15 4AW",P/BLR/0006,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_216270,,,
yes,,2017-12-01,-1.995167,49.900224,,0.61,2017-12-01,103,103,103,"Demolition of all existing buildings including no. 28 Blandford Road. Proposed mixed-use redevelopment comprising: 268 dwellings comprising 68no. 1-bedroom flats, 125no. 2-bedroom flats, 2no. 2-bedroom houses, 64no. 3-bedroom houses, 9no. 4-bedroom houses; 880 m2 GEA floorspace for Classes A1 and A3 uses; 11,556 m2 GEA floorspace Class B1 Business units; electricity substation; foul water pumping station; construction of new site entrance onto Blandford Road and associated access roads; 436 car parking spaces; cycle parking; public open space areas; and landscaping works. (Outline Application).",Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2012-12-11,outline planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_217365,permissioned,"Pilkingtons Tiles Ltd., Blandford Road, Poole, BH15 4AR",P/BLR/0007,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_217365,,,
yes,,2017-12-01,-1.995181,49.900224,,0.11,2017-12-01,8,8,8,Demolish existing and erect a block of 8 flats with basement car parking.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2012-08-15,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_219501,permissioned,"6 Highmoor Road, Poole, BH14 8SZ",P/BLR/0008,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_219501,,,
yes,,2017-12-01,-1.94608,49.90021,,0.12,2017-12-01,16,16,16,Reserved Matters Application for appearance and landscaping following approval of Outline Application 09/00698/P (APP/Q1255/A/10/2129885) granted on Appeal to demolish existing building and erect 16 studio flats.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2014-04-15,reserved matters approval,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_226619,permissioned,"Land r/o 394-408 Ashley Road, Poole, BH14 0AA",P/BLR/0009,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_226619,,,
,,2017-12-01,-1.978679,49.900221,,0.02,2018-12-01,5,5,5,,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,,,,,"69 High Street, Poole, BH15 1AF",P/BLR/0011,,,,
yes,,2017-12-01,-1.985209,49.900223,,0.17,2018-12-01,8,8,8,Demolish existing dwellinghouse and garage and erect three storey block of 8 flats with associated parking.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2017-12-04,outline planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_251430,permissioned,"1 De Mauley Road, Poole, BH13 7HD",P/BLR/0013,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_251430,,,
yes,,2017-12-01,-1.924656,49.900198,,0.04,2017-12-01,5,5,5,"Demolition of existing structure and construction of new building comprising commercial retail and office uses (A1/A2/A3) to ground floor, with 4 no. self contained residential accommodation units to first floor and a further self contained residential accommodation unit to the rear at second floor.",Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2018-03-09,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_252423,permissioned,"370-372 Ashley Road, Poole, BH14 9DQ",P/BLR/0014,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_252423,,,
