Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-11,-0.910455,53.01476,,3.45,2017-12-11,95,95,95,Permission 15/03060/OUT. 95 dwelling redevelopment of the Former Islamic Institute. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NE9IFMNL08H00,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,2016-09-22,outline planning permission,https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NZLCPLNLL3L00,permissioned,,"Flintham Islamic Institute, Flintham",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/127.pdf,SHLAA127
yes,,2017-12-11,-1.090355,52.870785,,0.7,2017-12-11,4,4,4,Permission 16/02418/FUL. 4 two bed apartments and associated car parking. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=OE48G2NL0CT00&activeTab=summary,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,2016-12-16,full planning permission,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HO4QOANL04000,permissioned,,"North of 1 Blind Lane, Keyworth",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/164.pdf,SHLAA164
yes,,2017-12-11,-1.119512,52.928349,,1.7,2017-12-11,50,50,50,Suggested number of dwellings from SHLAA: 50. SHLAA assessment 50 dwellings,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,owned by a public authority,,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000CCHNLLI000,not permissioned,,"West Bridgford Depot, West Bridgford",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/275.pdf,SHLAA275
yes,,2017-12-11,-1.132962,52.937914,,0.1,2017-12-11,6,6,6,Planning permission 13/01936/FUL recently expired. 6 self contained flats within a mixed use development. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=MTXV7MNL07T00&activeTab=summary,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000H06NLLI000,not permissioned,,"Former Filling Station, Radcliffe Road, West Bridgford",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/287.pdf,SHLAA287
yes,,2017-12-11,-1.129413,52.939057,,0.15,2017-12-11,48,48,48,Planning permission 16/01118/FUL. 48 apartments within a four storey building. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=O6DPXLNLMSW00&activeTab=summary,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,2016-11-17,full planning permission,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=H8V0HENL04000,permissioned,,"Land between Lady Bay Bridge and Radcliffe Road, West Bridgford",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/319.pdf,SHLAA319
yes,,2017-12-11,-1.133885,52.93642,,0.7,2017-12-11,215,215,215,Extended planning permission expired however still potential for brownfield development. 215 residential apartments. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I8I0DWNL04000,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I8I0DWNL04000,not permissioned,,"1-27 Loughborough Road & 2-6 Bridgford Road, West Bridgford",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/331.pdf,SHLAA331
yes,,2017-12-11,-0.975683,52.962571,,35.4,2017-12-11,550,550,550,Outline planning permission 10/02105/OUT granted in 2013. Number of dwellings in permisison: up to 550. up to 500 dwellings and up to 50 live work units. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=LEHRQZNL01000&activeTab=summary,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,2014-01-30,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NMYENNNL08H00,permissioned,,"Former RAF Newton, Newton",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/502.pdf,SHLAA502
yes,,2017-12-11,-1.150348,52.891186,,0.05,2017-12-11,5,5,5,Planning permission 14/01812/FUL. 5 terraced residential properties. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0097JGNLDT000,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,2015-05-22,full planning permission,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0097JGNLDT000,permissioned,,"15 Parkyns Street, Ruddington",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/802.pdf,SHLAA802
yes,,2017-12-11,-1.004295,54.078986,,0.5,2017-12-11,15,10,15,Suggested number of dwellings from SHLAA: 15. 10-15 residential dwellings as defined in a pre application for the site,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IP83JWNLD7000,not permissioned,,"Pedigree Wholesale, The Crescent, Radcliffe on Trent",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/860.pdf,SHLAA860
yes,,2017-12-12,-0.970119,52.983684,,0.25,2017-12-12,3,3,3,Planning permission 16/00630/FUL. 3 houses. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YUINLLI000,Rushcliffe Borough Council,http://opendatacommunities.org/id/district-council/rushcliffe,not owned by a public authority,2016-05-13,full planning permission,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YUINLLI000,permissioned,,"Reindeer Inn, Kneeton Road, East Bridgford",http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/872.pdf,SHLAA872
