Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
,,2017-12-17,-0.770725,53.396244,,0.36,2018-03-31,25,25,25,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Tesco Car Park, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,1
,,2017-12-17,-0.775094,53.397044,,0.81,2018-03-31,34,34,34,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Site between Wembley/Hickman Street, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2
,,2017-12-17,-0.775166,53.394527,,2.22,2018-03-31,83,83,83,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"West of Primrose Street, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,3
,,2017-12-17,-0.774912,53.39288,,0.58,2018-03-31,25,25,25,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Land enclosed by Thornton Street, Bridge Sreet, King Street and Bridge Road, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,4
yes,,2017-12-17,-0.763748,53.392037,,3.98,2018-03-31,112,112,112,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Middlefield School of Technology, Middlefield Lane, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,5
,,2017-12-17,-0.781668,53.401183,,3.03,2018-03-31,114,114,114,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Sinclairs, Ropery Road, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,6
yes,,2017-12-17,-0.773262,53.404279,,0.93,2018-03-31,53,53,53,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2011-07-15,full planning permission,,permissioned,,"Land north of Northholme, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,7
,,2017-12-17,-0.775944,53.403605,,0.18,2018-03-31,48,48,48,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Land between North Street and Church Street, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,8
yes,,2018-12-21,-0.770533,53.400314,,0.66,2018-03-31,39,39,39,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2017-10-13,full planning permission,,permissioned,,"Land at Spring Gardens (Marshalls Rise), Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,9
yes,,2017-12-17,-0.491299,53.266541,,0.38,2018-03-31,30,30,30,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Neighbourhood Plan Allocation D - All Saints Lane, Nettleham",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,10
yes,,2017-12-17,-0.775939,53.389591,,4.39,2018-03-31,245,245,245,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-07-19,outline planning permission,,permissioned,,"Gateway Riverside Housing Zone, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,11
,,2017-12-17,-0.77585,53.397932,,1.72,2018-03-31,73,73,73,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Town Centre Riverside Housing Zone A,Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,12
,,2017-12-17,-0.778514,53.399443,,1.57,2018-03-31,55,55,55,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Town Centre Riverside Housing Zone B,Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,13
,,2017-12-17,-0.76487,53.399015,,2.28,2018-03-31,78,78,78,Allocated in the Central Lincolnshire Local Plan,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,not permissioned,,"Amp Rose Housing Zone, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,14
yes,,2017-12-17,-0.580455,53.334417,,1.8,2018-03-31,35,35,35,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-02-10,full planning permission,,permissioned,,"The Old Scrapyard, Stow Road, Ingham",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,15
yes,,2017-12-17,-0.335974,53.386475,,0.08,2018-03-31,6,6,6,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-04-22,full planning permission,,permissioned,,"Land between 27 and 31 Union Street, Market Rasen",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,16
yes,,2018-12-21,-0.726931,53.27914,,0.74,2018-03-31,4,4,4,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2015-01-22,full planning permission,,permissioned,,"A Grice & Son Ltd, 40 Lincoln Road, Fenton",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,17
yes,,2017-12-17,-0.33349,53.38617,,0.1,2018-03-31,7,7,7,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2015-02-13,full planning permission,,permissioned,,"Tradelights, 19 Oxford Street, Market Rasen",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,18
yes,,2018-12-21,-0.780437,53.409045,,0.19,2018-03-31,24,24,24,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-07-28,full planning permission,,permissioned,,"22 North Marsh Road, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,19
yes,,2018-12-21,-0.304774,53.491277,,0.65,2018-03-31,8,8,8,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2017-05-23,reserved matters approval,,permissioned,,"The Mill, Whitegate Hill, Caistor",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,20
yes,,2017-12-17,-0.665425,53.312321,,0.19,2018-03-31,6,6,6,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-06-08,full planning permission,,permissioned,,"Red Lion, 1 Marton Road, Sturton by Stow",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,21
yes,,2017-12-17,-0.187826,53.44251,,2.09,2018-03-31,9,9,9,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-03-09,outline planning permission,,permissioned,,"Officers Mess, Brookenby Business Park, Binbrook, Brookenby",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,22
yes,,2017-12-17,-0.776266,53.395509,,0.16,2018-03-31,14,14,14,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-02-04,full planning permission,,permissioned,,"Gleadells Wharf, Bridge Street",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,23
yes,,2017-12-17,-0.76315,53.405451,,0.8,2018-03-31,23,23,23,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-11-18,full planning permission,,permissioned,,"Peacock Hotel, Corringham Road, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,24
yes,,2017-12-17,-0.40513,53.276082,,2.02,2018-03-31,23,23,23,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-05-23,reserved matters approval,,permissioned,,"George Hotel, 15 Main Road, Langworth",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,25
yes,,2017-12-17,-0.496024,53.399304,,0.37,2018-03-31,6,6,6,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2016-09-09,reserved matters approval,,permissioned,,"Land At Sunnyside, Caenby Road, Glentham",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,26
yes,,2018-12-21,-0.752086,53.399556,,0.65,2018-03-31,25,25,25,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2018-01-02,outline planning permission,,permissioned,,"The Beckett School, Whites Wood Lane, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,27
yes,,2017-12-17,-0.333979,53.386348,,0.13,2018-03-31,10,10,10,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2017-09-29,full planning permission,,permissioned,,"19 Oxford Street, Market Rasen",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,28
yes,,2018-12-21,-0.324081,53.496295,,0.26,2018-03-31,10,10,10,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,2018-03-05,full planning permission,,permissioned,,"Land off, Hersey Road, Caistor",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,29
,,2017-12-17,-0.666512,53.309708,,0.27,2018-03-31,8,8,8,,West Lindsey District Council,http://opendatacommunities.org/id/district-council/west-lindsey,,,,,pending decision,,"Queensway, Sturton by Stow",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,30
