Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
,,2018-01-15,,,,0.16,2019-03-31,23,23,23,"Demolition Completed. Demolition of all existing buildings (use classes C1 Hotels, A3 Restaurants, A4 Drinking Establishments and Sui Generis Nightclub). Construction of building fronting Rosemary Road containing three A1 retail/A3 restaurant units at ground floor with 17 holiday flats above; Construction of 34 holiday flats in an up to six storey building to the rear; and construction of basement cycle and car parking access from rear service road (off Beach Road), and egress onto Rosemary Road.",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=P59PAQQB03B02,not permissioned,,"Sandles Inn, 26 Rosemary Road, Clacton On Sea, Essex CO15 1NZ",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN3PR3QB0GD00,15/00578/FUL
yes,,2018-01-15,,,,0.02,2019-03-31,3,3,3,"Planning Permission Expired. Demolition of existing building (retail ground floor & residential 1st, 2nd, 3rd floors) and replacement with new residential 4 storey building providing 8 proposed apartments.",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001EL0QBLI000,not permissioned,,"20 - 20B Market Street, Harwich CO12 3DX",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,15/00615/FUL
yes,,2018-01-15,,,,0.07,2018-03-31,8,8,8,"Demolition of existing commercial building and erection of new building containing 8 No. flats and 1 No. retail unit (Use Classes A1, A2 and A3), with associated parking, cycle and bin- stores",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-08-16,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJAEN0QB03B00,permissioned,,"27-31 High Street, Walton On The Naze, Essex CO14 8BN",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,17/01038/FUL
yes,,2018-01-15,,,,0.46,2019-03-31,7,7,7,Proposed conversion to 8 no. apartments. Change of use from C2 to C3.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-09-27,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000F5JQBLI000,permissioned,,"274 Harwich Road, Little Clacton, Clacton On Sea, Essex CO16 9PY",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS5W9RQB0KO00,17/01048/FUL
yes,,2018-01-15,,,,0.02,2019-03-31,7,7,7,Demolition of existing fire damaged building and erection of new block of flats.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-02-02,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000MBIQBLI000,permissioned,,"7 Sea Pink Way, Jaywick, Essex CO15 2HQ",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS432QB0GS00,16/01358/FUL
,,2018-01-15,,,,0.1,2019-03-31,9,9,9,Demolition Completed. Demolition of existing buildings and construction of 9 one bedroom flats.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2012-01-17,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001F68QBLI000,permissioned,,723 Main Road Harwich Essex,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRYT6ZQB07Y00,11/01124/FUL
yes,,2018-01-15,,,,0.62,2019-03-31,5,5,5,Erection of 5 dwellings.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2018-08-28,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MBL014QB03B00,permissioned,,"Land Site of Former Ramsey Primary School, Wix Road, Ramsey, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PAQ9HEQB0GI00,18/01010/FUL
yes,,2018-01-15,,,,0.04,2019-03-31,7,7,7,"Alterations and extensions of existing vacant bank premises, to provide a retail unit and change of use to multi-residential accommodation. (1 Retail Unit, 6 Flats and 1 House).",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-11-10,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001E5JQBLI000,permissioned,,"2 High Street, Manningtree, Essex CO11 1AD",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OVUUROQB0LD00,17/01479/FUL
yes,,2018-01-15,,,,0.05,2019-03-31,8,8,8,Erection of 8 x one bed flats,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0012RFQBLI000,not permissioned,,"79 Stour Road, Harwich",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYF3JHQB01U00,15/01791/FUL
yes,,2018-01-15,,,,0.21,2019-03-31,2,2,2,"Demolition of an existing extension, conversion of a building comprising of four flats and office to provide three dwellings, the construction of three new dwellings, associated access and landscaping.",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001K6PQBLI000,not permissioned,,"The Abbey, High Street, Mistley",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NWVIXSQB0JH00,15/01634/FUL
